month,year,house_value,mortgage_balance,homeowner_net_worth,homeowner_stock_portfolio,homeowner_stock_contribution,investor_net_worth,investor_stock_portfolio,investor_stock_contribution,stock_net_worth,gross_stock_portfolio,stock_loan_balance,monthly_rent,investment_property_rental_income,stock_contribution,renter_spendable_cash,homeowner_spendable_cash,investor_spendable_cash
0,0.0,1500000,1100000,400000,0.0,0.0,400000,0.0,0.0,100000,300000,200000,5000,7500,0.0,0.0,0.0,0.0
1,0.08333333333333333,1504548.3731469223,1096981.5361620132,408566.83698490914,1000.0,1000,411066.83698490914,3500.0,3500,104338.23354674102,304196.2436162216,199858.01006948057,5000.0,7500.0,2500,3071.204047479914,3500,3500.0
2,0.16666666666666666,1509110.5380927003,1093950.774728714,417165.4175093737,2005.6541453874052,1000,422179.5528728422,7019.789508855918,3500,108701.10683245736,308416.21340393025,199715.1065714729,5000.0,7500.0,2500,3071.204047479914,3500,3500.0
3,0.25,1513686.5366574991,1090907.665598177,425795.86546484457,3016.9944055222777,1000,433338.35147865023,10559.48041932797,3500,113088.75988629286,312660.0435143491,199571.28362805623,5000.0,7500.0,2500,3071.204047479914,3500,3500.0
4,0.3333333333333333,1518276.410788293,1087852.1584643547,434458.3052544624,4034.052930524089,1000,444543.4375807726,14119.18525683431,3500,117501.33353372058,316927.86885721167,199426.5353234911,5000.0,7500.0,2500,3071.204047479914,3500,3500.0
5,0.4166666666666667,1522880.2025592497,1084784.2028162475,443152.861795296,5056.86205229376,1000,455795.0169260304,17699.01718302816,3500,121938.96940107486,321219.82510505087,199280.855703976,5000.0,7500.0,2500,3071.204047479914,3500,3500.0
6,0.5,1527497.9541721165,1081703.7479370672,451879.6605205908,6085.454285541481,1000,467093.2962344445,21299.089999395186,3500,126401.80992010917,325536.0486975117,199134.23877740256,5000.0,7500.0,2500,3071.204047479914,3500,3500.0
7,0.5833333333333334,1532129.7079566065,1078610.742903399,460638.8273820278,7119.862328820341,1000,478438.4832040787,24919.518150871198,3500,130889.99833258003,329876.6768456889,198986.67851310887,5000.0,7500.0,2500,3071.204047479914,3500,3500.0
8,0.6666666666666666,1536775.5063707875,1075505.1365843604,469430.48885199294,8160.119065565801,1000,489830.78651590744,28560.41672948031,3500,135403.67869485688,334241.84753648855,198838.16884163168,5000.0,7500.0,2500,3071.204047479914,3500,3500.0
9,0.75,1541435.3920014706,1072386.8776407547,478254.77192585694,9206.257565141048,1000,501270.41583870957,32221.901477993673,3500,139942.99588255823,338631.6995370148,198688.7036544566,5000.0,7500.0,2500,3071.204047479914,3500,3500.0
10,0.8333333333333334,1546109.4075646007,1069255.9145242232,487111.80412426573,10258.311083888255,1000,512757.5818339864,35904.0887936089,3500,144508.0955952144,343046.37239898124,198538.27680376684,5000.0,7500.0,2500,3071.204047479914,3500,3500.0
11,0.9166666666666666,1550797.5959056478,1066112.195476393,496001.71349544066,11316.31306618579,1000,524292.4961609051,39607.09573165027,3500,149099.12436095666,347486.00646314706,198386.8821021904,5000.0,7500.0,2500,3071.204047479914,3500,3500.0
12,1.0,1555500.0000000005,1062955.6685280208,504924.628617491,12380.297145511398,1000,535875.3714812695,43331.0400092899,3500,153716.22954123304,351950.74286377855,198234.5133225455,5000.0,7500.0,2500,3071.204047479914,3500,3500.0
13,1.0833333333333333,1560216.6629533588,1059786.2814981346,513880.6786007356,13450.297145511398,1000,547506.4214645141,47076.0400092899,3500,158359.5593355511,356440.72353313566,198081.16419758456,5100.0,7650.0,2500,2971.204047479914,3500,3550.0
14,1.1666666666666667,1564947.6280021307,1056603.9819931705,522869.99309003615,14526.347081075923,1000,559185.8607927259,50842.21478376573,3500,163029.2627862477,360956.09120598395,197926.82841973624,5100.0,7650.0,2500,2971.204047479914,3500,3550.0
15,1.25,1569692.938513827,1053408.7174061064,531892.7022671408,15608.481159420237,1000,570913.9051656915,54629.68405797083,3500,167725.48978328588,365496.9894241321,197771.49964084622,5100.0,7650.0,2500,2971.204047479914,3500,3550.0
